transaction_id,customer_id,policy_id,transaction_date,product_type,policy_status,premium_amount,province,payment_frequency,payment_status
1001,C0001,P10001,2026-01-09T00:00:00.000000000,Annuity,Lapsed,3615.99,Alberta,Monthly,Paid
1002,C0002,P10002,2026-03-11T00:00:00.000000000,Annuity,Lapsed,1038.21,British Columbia,Monthly,Paid
1003,C0003,P10003,2026-02-28T00:00:00.000000000,Annuity,Active,2644.27,Nova Scotia,Monthly,Pending
1004,C0004,P10004,2026-02-09T00:00:00.000000000,Annuity,Active,2556.89,Ontario,Monthly,Paid
1005,C0005,P10005,2026-02-08T00:00:00.000000000,Annuity,Pending,3930.29,Ontario,Monthly,Pending
1006,C0006,P10006,2026-03-19T00:00:00.000000000,Annuity,Active,2351.2,Ontario,Monthly,Overdue
1007,C0007,P10007,2026-01-08T00:00:00.000000000,Annuity,Active,2040.36,Ontario,Monthly,Overdue
1008,C0008,P10008,2026-03-04T00:00:00.000000000,Life,Active,3058.25,ontario,Monthly,Paid
1009,C0009,P10009,2026-01-19T00:00:00.000000000,Life,Pending,1565.85,Manitoba,Monthly,Paid
1010,C0010,P10010,2026-01-09T00:00:00.000000000,Life,Active,1059.07,British Columbia,Monthly,Paid
1011,C0011,P10011,2026-02-17T00:00:00.000000000,Life,Lapsed,2411.51,Nova Scotia,Monthly,Paid
1012,C0012,P10012,2026-03-29T00:00:00.000000000,Life,Active,2167.56,Manitoba,Monthly,Paid
1013,C0013,P10013,2026-03-08T00:00:00.000000000,Annuity,Active,1430.28,Nova Scotia,Monthly,Pending
1014,C0014,P10014,2026-03-10T00:00:00.000000000,Life,Pending,1970.05,Alberta,Monthly,Pending
1015,C0015,P10015,2026-03-06T00:00:00.000000000,Life,Active,1965.57,Alberta,Quarterly,Paid
1016,C0016,P10016,2026-03-12T00:00:00.000000000,Life,Active,1809.98,Nova Scotia,Monthly,Paid
1017,C0017,P10017,2026-02-16T00:00:00.000000000,Life,Active,2017.86,Alberta,Monthly,Paid
1018,C0018,P10018,2026-01-12T00:00:00.000000000,Annuity,Lapsed,3242.97,Ontario,Monthly,Paid
1019,C0019,P10019,2026-03-17T00:00:00.000000000,Annuity,Active,1687.51,ONTARIO,Monthly,Paid
1020,C0020,P10020,2026-02-10T00:00:00.000000000,Annuity,Active,4295.43,Manitoba,Monthly,Paid
1021,C0021,P10021,2026-02-15T00:00:00.000000000,Annuity,Pending,4165.39,Nova Scotia,Monthly,Paid
1022,C0022,P10022,2026-02-03T00:00:00.000000000,Life,Lapsed,2423.64,Nova Scotia,Quarterly,Paid
1023,C0023,P10023,2026-01-17T00:00:00.000000000,Annuity,Active,1813.44,Ontario,Quarterly,Pending
1024,C0024,P10024,2026-03-25T00:00:00.000000000,Life,Active,2641.74,Manitoba,Monthly,Paid
1025,C0025,P10025,2026-03-12T00:00:00.000000000,Life,Active,3894.24,Nova Scotia,Monthly,Pending
1026,C0026,P10026,2026-02-27T00:00:00.000000000,Life,Active,3110.35,Manitoba,Quarterly,Paid
1027,C0027,P10027,2026-02-06T00:00:00.000000000,Annuity,Active,3717.57,Manitoba,Monthly,Overdue
1028,C0028,P10028,2026-03-16T00:00:00.000000000,Annuity,Active,2630.89,Nova Scotia,Quarterly,Paid
1029,C0029,P10029,2026-02-19T00:00:00.000000000,Life,Active,3031.67,Quebec,Monthly,Paid
1030,C0030,P10030,2026-02-09T00:00:00.000000000,Annuity,Active,-750.0,Ontario,Monthly,Overdue
1031,C0031,P10031,2026-02-10T00:00:00.000000000,Life,Active,3439.57,Quebec,Monthly,Pending
1032,C0032,P10032,2026-01-21T00:00:00.000000000,Annuity,Active,1309.62,Alberta,Quarterly,Overdue
1033,C0033,P10033,2026-01-09T00:00:00.000000000,Life,Active,3279.19,Ontario,Monthly,Paid
1034,C0034,P10034,2026-02-19T00:00:00.000000000,Life,Pending,3942.88,Ontario,Monthly,Paid
1035,C0035,P10035,2026-03-21T00:00:00.000000000,Life,Active,1028.41,Manitoba,Monthly,Paid
1036,C0036,P10036,2026-01-06T00:00:00.000000000,Annuity,Pending,2957.52,British Columbia,Monthly,Paid
1037,C0037,P10037,2026-03-19T00:00:00.000000000,Life,Active,880.38,British Columbia,Monthly,Paid
1038,C0038,P10038,2026-03-16T00:00:00.000000000,Life,Active,3402.86,Manitoba,Monthly,Paid
1039,C0039,P10039,2026-01-25T00:00:00.000000000,Life,Lapsed,837.97,British Columbia,Monthly,Paid
1040,C0040,P10040,2026-02-26T00:00:00.000000000,Annuity,Active,4243.76,British Columbia,Quarterly,Overdue
1041,C0041,P10041,2026-01-15T00:00:00.000000000,Annuity,Active,1049.63,Ontario,Quarterly,Paid
1042,C0042,P10042,2026-03-10T00:00:00.000000000,Annuity,Active,-1250.0,Nova Scotia,Monthly,Overdue
1043,C0043,P10043,2026-03-05T00:00:00.000000000,Life,Active,3703.54,Quebec,Monthly,Paid
1044,C0044,P10044,2026-02-01T00:00:00.000000000,Annuity,Lapsed,2874.73,Ontario,Monthly,Paid
1045,C0045,P10045,2026-01-07T00:00:00.000000000,Annuity,Active,3630.5,Manitoba,Monthly,Paid
1046,C0046,P10046,2026-03-29T00:00:00.000000000,Annuity,Lapsed,3680.46,Manitoba,Monthly,Overdue
1047,C0047,P10047,2026-02-10T00:00:00.000000000,Life,Active,4284.11,Ontario,Quarterly,Paid
1048,C0048,P10048,2026-03-22T00:00:00.000000000,Life,Active,1513.53,Alberta,Quarterly,Paid
1049,C0049,P10049,2026-03-03T00:00:00.000000000,Life,Active,2860.3,Ontario,Quarterly,Paid
1050,C0050,P10050,2026-03-12T00:00:00.000000000,Annuity,Active,880.2,Alberta,Monthly,Paid
1051,C0051,P10051,2026-03-10T00:00:00.000000000,Annuity,Active,2964.66,Ontario,Monthly,Paid
1052,C0052,P10052,2026-01-18T00:00:00.000000000,Life,Active,1185.17,Manitoba,Monthly,Overdue
