transaction_id,customer_id,policy_id,transaction_date,product_type,policy_status,premium_amount,province,payment_frequency,payment_status
1734,C0734,P10734,2026-01-15,Life,Lapsed,2666.85,Nova Scotia,ANNUAL ,Pending
1866,C0866,P10866,2026-03-24,Annuity,Active,4410.05,Ontario,Quarterly,Pending
1102,C0102,P10102,2026-02-02,  life  ,Pending,2289.07,Quebec,  annual  ,Overdue
1440,C0440,P10440,2026-02-11,Annuity,LAPSED ,1126.72,British Columbia,Annual,PENDING 
1059,C0059,P10059,2026-03-18T00:00:00.000000000,Annuity,Pending,1407.74,  ontario  ,Monthly,Pending
2121,C1121,P11121,2026-01-04,Life,Pending,3749.32,Manitoba,Monthly,Overdue
1324,C0324,P10324,2026-01-05,Life,Lapsed,897.84,Nova Scotia,Monthly,Overdue
1975,C0975,P10975,2026-02-04,Life,PENDING ,4038.24,Alberta,Annual,Overdue
1412,C0412,P10412,2026-01-13,  life  ,Pending,3580.57,Alberta,Quarterly,Pending
1856,C0856,P10856,2026-03-31,Annuity,Lapsed,2068.58,British Columbia,Quarterly,  pending  
1821,C0821,P10821,2026-03-25,Life,  lapsed  ,2207.11,Manitoba,Quarterly,Pending
1045,C0045,P10045,2026-02-04,Annuity,Lapsed,3970.72,Alberta,Monthly,Pending
1050,C0050,P10050,2026-99-99,Annuity,Pending,3509.79,British Columbia,Quarterly,Paid
1850,C0850,P10850,2026-01-08T00:00:00.000000000,Life,Active,4390.74,Alberta,MONTHLY ,Paid
1241,C0241,P10241,2026-01-12T00:00:00.000000000,  annuity  ,Pending,1978.99,Quebec,Quarterly,Paid
1171,C0171,P10171,2026-03-11,Life,Active,1864.69,Nova Scotia,Annual,Pending
1524,C0524,P10524,2026-01-07,LIFE ,PENDING ,3349.58,Alberta,Annual,Pending
1766,C0766,P10766,2026-02-19,Life,Pending,3313.87,Ontario,Quarterly,  overdue  
1839,C0839,P10839,2026-02-07,Life,Active,1128.43,  british columbia  ,Monthly,Paid
1424,C0424,P10424,2026-03-13T00:00:00.000000000,Annuity,Lapsed,4225.73,Nova Scotia,Monthly,Overdue
1381,C0381,P10381,2026-01-08,Life,Lapsed,3139.41,British Columbia,Quarterly,Paid
1610,C0610,P10610,2026-02-02T00:00:00.000000000,Life,ACTIVE ,4486.9,Alberta,Annual,Overdue
1677,C0677,P10677,2026-01-07T00:00:00.000000000,Life,Pending,4467.37,British Columbia,Quarterly,  pending  
1345,C0345,P10345,2026-03-16,Annuity,LAPSED ,1124.72,Quebec,Annual,Pending
1110,C0110,P10110,2026-01-01T00:00:00.000000000,Life,Active,918.96,  quebec  ,Monthly,  overdue  
1278,C0278,P10278,2026-01-20,Annuity,Pending,839.46,Quebec,ANNUAL ,Overdue
1678,C0678,P10678,2026-02-14,  life  ,Pending,4423.3,Alberta,ANNUAL ,Paid
1571,C0571,P10571,2026-03-14,Annuity,Active,3969.1,Quebec,Monthly,  overdue  
1359,C0359,P10359,2026-01-26,Annuity,Lapsed,4097.35,Ontario,  quarterly  ,Paid
1599,C0599,P10599,2026-02-08T00:00:00.000000000,Annuity,Active,2548.15,British Columbia,Annual,Pending
1391,C0391,P10391,2026-01-24,Life,Lapsed,4535.44,,Annual,Pending
1894,C0894,P10894,2026-02-21T00:00:00.000000000,Annuity,  active  ,3515.43,ONTARIO ,Quarterly,Pending
1693,C0693,P10693,2026-01-22,Life,Lapsed,4717.53,  nova scotia  ,Quarterly,  pending  
1728,C0728,P10728,2026-01-08,Annuity,Pending,3969.15,QUEBEC ,Monthly,Pending
1363,C0363,P10363,2026-01-01,Annuity,Active,880.33,Alberta,Monthly,Overdue
1597,C0597,P10597,2026-02-28T00:00:00.000000000,Annuity,Active,4749.2,Nova Scotia,Quarterly,Pending
1428,C0428,P10428,2026-03-19,Annuity,Pending,2853.79,  ontario  ,Annual,Paid
1071,C0071,P10071,2026-03-03T00:00:00.000000000,LIFE ,Lapsed,2927.04,Manitoba,Monthly,Paid
1322,C0322,P10322,2026-01-03,ANNUITY ,Active,2840.74,ALBERTA ,Monthly,OVERDUE 
1653,C0653,P10653,2026-03-08T00:00:00.000000000,Annuity,Lapsed,1728.32,Nova Scotia,Quarterly,Pending
2066,C1066,P11066,2026-02-18T00:00:00.000000000,Annuity,Pending,1649.36,Alberta,Monthly,Overdue
1108,C0108,P10108,2026-01-16T00:00:00.000000000,Life,Lapsed,4177.5,Nova Scotia,  quarterly  ,Pending
2109,C1109,P11109,2026-03-30T00:00:00.000000000,Annuity,Lapsed,2997.88,Ontario,Annual,Paid
1356,C0356,P10356,2026-03-31T00:00:00.000000000,Life,Pending,4523.98,Quebec,Annual,  pending  
1951,C0951,P10951,2026-01-22T00:00:00.000000000,Annuity,Active,3030.34,Alberta,Annual,Overdue
1343,C0343,P10343,2026-02-12,Life,Pending,1580.66,Alberta,Monthly,Paid
